Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Endocytosis (GO:0006897),0.45703452021434576,1.374668673986231,0.141643059490085,0.6148846140806591,1.0,3/16,4.74%,HSPG2;INSR;EHD4
prerank,Positive Regulation Of Developmental Process (GO:0051094),0.38322060963040794,1.3702940999900024,0.12138728323699421,0.6165577013401535,1.0,6/33,11.70%,GJA1;INSR;ENPP2;CFL1;KRT10;MDK
prerank,Intracellular Calcium Ion Homeostasis (GO:0006874),0.4919319367975811,1.3691002195198576,0.13528591352859135,0.6085586554091746,1.0,5/12,14.97%,TPT1;SMDT1;BAX;CCL14;ATP2B4
prerank,Regulation Of MAP Kinase Activity (GO:0043405),0.449299414177998,1.3571971208661813,0.14835948644793154,0.6317341266483062,1.0,4/14,6.13%,INSR;FLT1;ERP29;MEF2C
prerank,Receptor-Mediated Endocytosis (GO:0006898),0.4220472219258221,1.3510351636185205,0.1329639889196676,0.6376317606017019,1.0,6/20,9.47%,HSPG2;INSR;AP2S1;CD9;CANX;RALB
prerank,Positive Regulation Of Epithelial Cell Migration (GO:0010634),0.41674153001556385,1.3455102855630428,0.15070422535211267,0.642550070464819,1.0,6/22,12.26%,ENPP2;PFN1;SPARC;ITGB1BP1;ETS1;MAP4K4
prerank,Positive Regulation Of Defense Response (GO:0031349),0.4825616163411708,1.3447098305124618,0.1459227467811159,0.6339748402660879,1.0,5/13,13.37%,LGALS1;MEF2C;ETS1;MDK;DDT
prerank,Positive Regulation Of Cytoskeleton Organization (GO:0051495),0.491602498523364,1.3438812407617817,0.1470160116448326,0.6259616112551561,1.0,6/12,20.47%,SYNPO;PFN1;GSN;NES;VASP;PFDN2
prerank,Brain Development (GO:0007420),0.42144100531711454,1.3428989552300992,0.16806722689075632,0.6183232172178081,1.0,6/18,12.74%,HSPG2;COL4A1;CXCR4;CCL14;APOD;NES
prerank,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),0.3881207137595493,1.3419807305730669,0.1400560224089636,0.6108843755089851,1.0,6/27,9.19%,INSR;COL4A2;FLT1;UXT;STMN1;GRB10
prerank,Regulation Of Neuron Projection Development (GO:0010975),0.48627017453596333,1.3415826190211328,0.16312056737588654,0.6023114134179914,1.0,4/11,11.70%,CFL1;DPYSL3;SNX3;MDK
prerank,Positive Regulation Of Endothelial Cell Migration (GO:0010595),0.41173620944333905,1.3364265313623063,0.153954802259887,0.6064174516117207,1.0,5/22,8.43%,HSPB1;TMSB4X;SPARC;ITGB1BP1;ETS1
prerank,Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),0.41009632285209763,1.3273796108333495,0.15819209039548024,0.6220523858456135,1.0,7/21,19.15%,IGFBP2;SOX4;PFDN5;CCL14;MDK;WWTR1;JUP
prerank,Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),0.4460612039556768,1.3271903666840463,0.16853932584269662,0.6133736169623115,1.0,4/16,5.78%,FLNA;COMMD6;TMSB4X;TNFRSF4
prerank,Organelle Assembly (GO:0070925),0.3704626649374173,1.3169226215920595,0.15782122905027932,0.6321060978568394,1.0,5/35,5.15%,CD34;SYNPO;FLNA;EHD4;GSN
prerank,Negative Regulation Of Apoptotic Process (GO:0043066),0.3199589079483687,1.3076600951821078,0.13333333333333333,0.6485706862527499,1.0,13/66,12.26%,TPT1;PTMA;PTMS;HSPB1;FLNA;CFL1;SET;MEF2C;NPM1;PRDX2;MDK;TSC22D1;MAP4K4
prerank,Nervous System Development (GO:0007399),0.3676849276540761,1.3025270337387043,0.166189111747851,0.6526886575984397,1.0,9/29,12.74%,MARCKSL1;SOX4;MARCKS;CXCR4;GSN;MEF2C;COX7B;MDK;NES
prerank,Mitochondrial Transport (GO:0006839),0.453837638001531,1.3010843476783456,0.1950509461426492,0.6472676081447287,1.0,8/13,31.27%,TIMM13;TOMM20;SLC25A5;TOMM22;TOMM7;BAD;AIP;TIMM8B
prerank,Protein Targeting (GO:0006605),0.43571493327814526,1.296986175337907,0.18037518037518038,0.6493106386042382,1.0,9/16,33.98%,NACA;TIMM13;TOMM20;TOMM22;SEC61G;TOMM7;ATG3;TIMM8B;APEX1
