gene,logfoldchanges,pvals,pvals_adj
RPL38,1.2871526,9.55112157916728e-21,2.290442007915437e-18
ENPP2,2.2045057,1.1245976099101845e-20,2.673633869491644e-18
RPS29,1.0401953,2.9730694716329535e-20,6.948416092262169e-18
MGLL,3.24818,1.0012468049776442e-19,2.320368435938947e-17
IGFBP2,2.1085951,1.0841553683268182e-19,2.4915697289764157e-17
AP2S1,1.7575576,1.1958696140707773e-19,2.7255943980862727e-17
A2M,1.2386638,3.6216418719419323e-19,8.186691765935624e-17
ACTG1,0.9963843,6.309814508990377e-19,1.414732231942574e-16
SLC25A6,1.5525703,1.680811085868802e-18,3.738178074684663e-16
GNAS,1.6188174,2.7023779511387717e-18,5.962094330920404e-16
TM4SF18,2.1948018,4.325527652370716e-18,9.319484499771843e-16
MARCKSL1,1.3567191,7.71339130472269e-18,1.6489915147414137e-15
ADGRL4,1.7691967,1.9833410900394096e-17,4.207429275469757e-15
RBP1,2.170766,2.5148494034674626e-17,5.2942379273912735e-15
FAU,0.8657207,3.303933635021814e-17,6.7996926706441485e-15
EEF1B2,1.3464936,3.8244081102679664e-17,7.81255754555333e-15
EEF1D,1.337171,1.2600978129578047e-16,2.536567699689806e-14
RGS3,2.217296,2.31804909051287e-16,4.5990761020261814e-14
SOX4,1.6213441,2.4607651040841847e-16,4.8473557171738324e-14
RAB13,1.5567328,2.572469032814555e-16,5.031457516805659e-14
CXorf36,2.013213,4.653580698204923e-16,9.037778063034885e-14
SERPINH1,1.6113268,1.4999259245778257e-15,2.8926543460144946e-13
UQCRH,1.4710963,2.1086584743602805e-15,4.0383738476324874e-13
MT-CO3,0.664887,2.7243408264090052e-15,5.181508366255693e-13
ANXA2,1.4148031,3.025487681366209e-15,5.67597954263383e-13
SNRPE,1.5535622,4.262945992887336e-15,7.943481391341011e-13
ATP5E,1.0639306,4.696220157508566e-15,8.692104664682633e-13
EEF2,1.2786579,5.663667742739143e-15,1.0412841933950672e-12
COL4A2,1.5522201,7.680952977056284e-15,1.4028166966970743e-12
FLT1,1.7787378,1.2993426419432558e-14,2.3574520644415203e-12
OST4,1.4065939,1.4518011264068906e-14,2.6168478081077926e-12
SYNPO,2.457098,1.5986854778058867e-14,2.862892734216282e-12
MARCKS,1.4471464,2.604847282926954e-14,4.618053688322124e-12
RPS10,1.3549145,2.6122865159846663e-14,4.618053688322124e-12
UXT,1.5753658,3.3844292370763737e-14,5.9073284493729256e-12
FLNA,1.772862,3.8126791634836584e-14,6.612960123934109e-12
HNRNPA1,1.2602454,4.4611877280650174e-14,7.641654358048265e-12
CFL1,0.8934486,9.417541876754339e-14,1.6031911720810566e-11
MT-CO1,0.70583904,1.0154183069812847e-13,1.697164004238174e-11
EIF3L,1.5042815,1.0499486645677247e-13,1.744306281412573e-11
CYYR1,1.4823575,1.1949952544842024e-13,1.9733879717464274e-11
MLEC,2.036279,1.3805845454105173e-13,2.266295273412574e-11
RPS4Y1,1.3701869,1.471445999250281e-13,2.40115608090676e-11
CXCR4,2.759351,2.1715663655589155e-13,3.502190481250513e-11
C9orf16,1.4215392,2.294328317987689e-13,3.6786619972944464e-11
EIF3H,1.4902806,2.5396685585668337e-13,4.048495925326944e-11
TIMM13,1.7590185,2.6608628489204797e-13,4.2173146923867236e-11
GLTSCR2,1.2291448,5.180224078452218e-13,8.16344112203173e-11
SET,1.43424,5.986811738633844e-13,9.380925802729781e-11
EHD4,1.4240284,7.640641295001932e-13,1.1904723482122218e-10
CYTL1,2.1721942,1.1001005672462626e-12,1.6948923711462251e-10
PFN1,0.99849105,1.8868239880775107e-12,2.890823996844533e-10
CD9,1.3752364,3.884454140307529e-12,5.886015180296761e-10
COMMD6,1.2784419,5.137239414847241e-12,7.699716770796586e-10
NSA2,1.5100296,6.40099437281132e-12,9.439926353657251e-10
GSN,1.4248329,7.319407053726271e-12,1.073694721955655e-09
