gene,logfoldchanges,pvals,pvals_adj
HMGN1,0.91175795,1.7036821013573514e-06,0.00010144479489255598
RGCC,0.8203838,1.7052449746675874e-06,0.00010144479489255598
DNAJC15,0.96841496,1.7068092258374782e-06,0.00010144479489255598
NDUFB7,0.87517494,1.7352026897064475e-06,0.00010291058016499873
ZNHIT1,0.87034595,1.7966425975362944e-06,0.00010632577157694404
MRPL14,1.3326958,1.8635727459041757e-06,0.0001100505550033091
UBE2N,0.88388294,1.873816628675726e-06,0.00011041904911457086
CD320,1.0151376,1.9100979796937222e-06,0.00011207804698722017
PODXL,0.91701686,1.9506089382380184e-06,0.00011421208768307448
NONO,1.0336965,1.9828876421781166e-06,0.00011585609194065276
FAM213A,2.0411375,2.0211947834291192e-06,0.00011784462946597939
UBXN1,0.92121184,2.1018633042709837e-06,0.0001222894223738084
C1QBP,0.93412244,2.195563818424027e-06,0.00012693764986267884
UFD1L,1.1483206,2.195563818424027e-06,0.00012693764986267884
MYEOV2,0.9002206,2.227679254394367e-06,0.00012852497589474444
EFNA1,0.9405526,2.2418711735729805e-06,0.00012885342010207862
RP11-382A20.3,1.6104788,2.2439056643773587e-06,0.00012885342010207862
VASH1,2.0445933,2.2500197798745568e-06,0.00012885342010207862
MT-CYB,0.40827996,2.2520613709914388e-06,0.00012885342010207862
HNRNPAB,1.3355587,2.307861581428246e-06,0.00013177268466382642
HSP90B1,0.9201252,2.343673548465712e-06,0.00013338635149548944
MGMT,1.4242828,2.345796666738428e-06,0.00013338635149548944
PPP1CB,1.115394,2.373565801063014e-06,0.0001346876495097033
NDUFA6,0.89225906,2.38001873759832e-06,0.0001347765025574671
EHD2,1.1050415,2.395141155890553e-06,0.00013535492376465097
MT-ND1,0.5115801,2.452121846600233e-06,0.0001382916488456876
VDAC1,1.074495,2.4743821459554882e-06,0.00013897863711030643
USMG5,0.9235274,2.4743821459554882e-06,0.00013897863711030643
EPB41L4A-AS1,1.7621266,2.4810979764847207e-06,0.00013907260161686102
OCIAD2,1.1825131,2.508136693060101e-06,0.0001401455143423397
IQGAP1,0.9436894,2.5104026428717026e-06,0.0001401455143423397
MINOS1,0.896468,2.6547945992973674e-06,0.00014760872068432014
DRAP1,0.87583023,2.6788177091763923e-06,0.00014864473799530492
CALM3,1.0173689,2.6884852508315787e-06,0.00014888161897074953
NAPA,1.4276551,2.7103597929731847e-06,0.00014956867951248089
NFIC,0.8543886,2.712800814413232e-06,0.00014956867951248089
HSPE1,0.8586829,2.722586014767764e-06,0.00014956867951248089
TCEA2,1.418105,2.722586014767764e-06,0.00014956867951248089
PLP2,2.2109597,2.7521452659025272e-06,0.00015089197245141134
MRPL33,0.88549685,2.7620666070384645e-06,0.00015113546208116423
TOMM7,0.9452597,2.7845152673558582e-06,0.0001520621030557225
POLE4,1.0256554,2.8299389539295127e-06,0.00015423726575388954
PEA15,0.9291008,2.978518976622635e-06,0.0001620149829138048
NCOA7,2.51736,3.013438886642197e-06,0.00016359176696027265
LSM2,0.89516526,3.0296879182000713e-06,0.00016397577329590305
PGLS,0.8628775,3.0324042490721067e-06,0.00016397577329590305
ATP5J2,0.82826966,3.08722403354793e-06,0.00016661343326259258
FAM167B,0.930096,3.1094170635204602e-06,0.00016715692744204142
ARPC1B,0.8745717,3.1712397841640586e-06,0.00017014873690209418
C1orf122,1.4437425,3.1968692326909417e-06,0.00017119079553233165
CCDC85B,0.7421335,3.208323761941156e-06,0.0001714712261759946
PDCD5,0.84151727,3.2720306893738943e-06,0.00017453783820416493
ATP5L,0.93072915,3.532904763849509e-06,0.0001877272593014292
EFCAB14,1.4774867,3.5867817395360986e-06,0.00019022359002485872
SMAD1,1.8970506,3.6414459776853426e-06,0.0001927520099282272
PPP2R1A,0.9363407,3.719980521329998e-06,0.00019653184447746875
LINC00152,4.001221,3.7799443118125468e-06,0.0001993179813215419
SELM,1.4232745,3.8035128822295265e-06,0.00020017801195825548
PDIA6,0.84361583,3.861338747355302e-06,0.00020244866915316448
TMEM204,0.857541,3.861338747355302e-06,0.00020244866915316448
ATP5O,0.8783371,3.9095918806543075e-06,0.00020420213046341758
SSFA2,1.2007853,3.9200067699182126e-06,0.00020435906748734307
ST13,0.784596,3.961932872204698e-06,0.00020615506556539845
AURKAIP1,0.85980904,3.9760034986197066e-06,0.00020649759790006454
OAZ2,0.85939234,4.0722405880571646e-06,0.00021109821604782048
MRPS16,1.5733323,4.141296940529098e-06,0.0002142752101799465
ZNF22,0.8982537,4.185488183027693e-06,0.0002161561668755388
PCBP1,0.88291544,4.241362921214776e-06,0.00021861053177563445
KNOP1,1.4470656,4.26391234829747e-06,0.00021895570110459867
GPX4,0.8860481,4.271454318452175e-06,0.00021895570110459867
CYB5R3,0.8026124,4.2979520041365995e-06,0.0002196919770275182
LINC00998,0.9380038,4.301750221004418e-06,0.0002196919770275182
SERP1,0.8312291,4.351420648650227e-06,0.00022181789029293155
SH3BGRL3,0.8998514,4.468150572649062e-06,0.00022712960331803948
DUSP23,1.3921702,4.472092776912592e-06,0.00022712960331803948
LSM4,0.9988748,4.527634730334557e-06,0.0002295108480465194
STOML2,1.0997663,4.5356230395733215e-06,0.0002295108480465194
TBCB,0.8864772,4.652981746874608e-06,0.00023501818794012443
BAD,1.1564281,4.677623397545284e-06,0.00023583089224406555
ARPP19,1.0844426,4.689991051101372e-06,0.0002360229438088935
IRF2BP2,0.93986094,4.8664613152446946e-06,0.0002444576869796324
CCDC124,1.1901715,4.892184685372124e-06,0.00024530303500580445
NCL,0.87141085,5.009560077880119e-06,0.0002507325731901596
MTRNR2L12,1.4586188,5.02276702714158e-06,0.0002509381686132437
GTF3C6,1.0599134,5.062588232848167e-06,0.00025247026814735396
IGFBP3,3.788535,5.084841576554546e-06,0.0002531223122711575
AIP,1.1856824,5.111669243606678e-06,0.0002537649031311504
RAP1A,1.0040187,5.116153678327639e-06,0.0002537649031311504
C11orf73,1.0719543,5.2020771372033244e-06,0.000257563524757259
C1orf21,2.239006,5.229496728642635e-06,0.0002582208601448339
RNF145,1.5036072,5.234080093587721e-06,0.0002582208601448339
RSU1,0.94563866,5.303293834913546e-06,0.00026093109579807547
CCT3,0.97720253,5.307939108808482e-06,0.00026093109579807547
PSMD8,0.8045168,5.3827954150106255e-06,0.00026414009244690934
BPTF,1.1232549,5.411126253012346e-06,0.00026505868526745024
UQCRFS1,0.8618902,5.458661819666395e-06,0.00026691307741624087
ERGIC3,0.91039747,5.473000272594366e-06,0.00026714053365948213
ATP5H,0.8187105,5.496977853630128e-06,0.00026783684672687576
ARF3,1.1302142,5.5841325476205245e-06,0.00027160354038497145
AGRN,1.7077234,5.647898619116451e-06,0.0002742213875316787
C4orf32,1.5775697,6.0876295744277405e-06,0.000294534470883453
GDI2,0.907102,6.1944907598424935e-06,0.00029917980065663095
CKLF,1.1974401,6.2431617618306525e-06,0.00030100334802056944
SF3B5,0.86629385,6.3360960336960626e-06,0.0003049508837997731
TMEM258,0.8247829,6.503335743789881e-06,0.00031245469188543093
CTNND1,0.7469007,6.571407179317627e-06,0.00031517611685429834
MTRNR2L8,1.0805175,6.7037874221491045e-06,0.0003209670998750486
CCT4,0.98804647,6.940112280028463e-06,0.0003317060943823656
ATG3,1.0166626,7.06735193666855e-06,0.00033720316904748316
CDC42EP3,1.3831153,7.1410588892062e-06,0.00034013147158295094
CHCHD2,0.89238405,7.1657908300499725e-06,0.00034072099915710024
ARPC2,0.8672685,7.203042395589085e-06,0.0003419027593555177
NNMT,1.2174861,7.598978119373673e-06,0.00036007666422008104
SUPT4H1,0.81451404,7.612090460292486e-06,0.00036007929796560235
BRI3,0.86020994,7.797950098171334e-06,0.0003682394996701525
CCT6A,0.8398327,7.974412697385824e-06,0.0003759288091769338
FKBP10,3.5529673,8.036380500833634e-06,0.000378203586095546
RAN,0.8347901,8.147683786053887e-06,0.0003827884556248621
JAK1,0.8097581,8.175738991366703e-06,0.00038345328214950836
GNG5,0.85469294,8.21799500388522e-06,0.00038478075758428967
YY1,0.8882146,8.331700733991866e-06,0.0003887845056548692
HNRNPUL1,1.2914958,8.331700733991866e-06,0.0003887845056548692
NDUFA1,0.79229325,8.367541088437427e-06,0.00038979737860967464
TXN,0.8354238,8.83194523310331e-06,0.00041039739399283885
SEC61B,0.83678794,8.83951164086396e-06,0.00041039739399283885
RNF5,0.91349703,8.907888623288871e-06,0.00041287689487909325
MT-CO2,0.37315312,8.930793052500288e-06,0.00041324397785545794
EPHB4,1.1620762,9.053903533117017e-06,0.00041823877996030335
C11orf31,0.8280415,9.162953875409168e-06,0.00042256846484286625
TIMM8B,1.002153,9.265337708658682e-06,0.0004265767668270269
MRPL41,0.8344461,9.320919255969272e-06,0.00042842051873520095
SAT2,1.2231133,9.408905784435674e-06,0.0004317450977090965
PUM1,1.3982745,9.449161451818004e-06,0.00043287205069474565
ROCK1,0.94874656,9.587265063075482e-06,0.0004384703083076213
ILF2,0.9169837,9.677651432164622e-06,0.0004415173352926574
AK1,0.95591545,9.685908617450784e-06,0.0004415173352926574
JMJD1C,0.71872944,9.869278532999897e-06,0.00044913360294236167
SLC39A1,0.8197717,9.936776952788459e-06,0.00045146035387808915
MTIF3,0.8433461,1.0013239697183853e-05,0.00045418605981732945
CLIC4,0.8807199,1.016785440654016e-05,0.00045968703085830253
CAPNS1,0.8433312,1.0219897416828913e-05,0.0004612836840610602
LSM8,0.8278261,1.0412906779309812e-05,0.0004688931211494683
EIF3M,1.0386511,1.0430624660532071e-05,0.0004688931211494683
UBE2K,1.2245926,1.0439494393566377e-05,0.0004688931211494683
HSD17B10,0.99204314,1.0555458358976543e-05,0.0004733307815022034
LYRM4,1.6853824,1.0672651769249786e-05,0.00047780907547462757
FAM89B,1.5657878,1.070896053306723e-05,0.0004786575584780033
CFI,2.4013538,1.1022383211144319e-05,0.0004918693919044305
NREP,1.7190323,1.1306188486221209e-05,0.0005037190081954903
NR5A2,1.8751817,1.1354162459736338e-05,0.0005050404714751754
NMRK1,1.1864336,1.150898845291136e-05,0.0005111028720682601
RTF1,0.72076356,1.1854726191197221e-05,0.0005256103519306061
LARP1,2.045444,1.3028943865477333e-05,0.0005753834872252012
LAGE3,1.1743135,1.3039911506119036e-05,0.0005753834872252012
SZRD1,1.1540174,1.3094881963073783e-05,0.0005768860299962441
PABPC1,0.8171284,1.3238841713632016e-05,0.0005822978895989533
MBNL1,0.96921307,1.3261122935216878e-05,0.0005823491215086163
KPNB1,0.7761019,1.3339389269671929e-05,0.000584854812844217
KDR,0.7622096,1.3554053914609655e-05,0.0005933233315192144
TPR,0.83763206,1.3958143589674258e-05,0.0006100438730840518
ARHGDIA,0.8215482,1.4134819733447145e-05,0.0006167880674193123
ATF4,0.7764148,1.4373707899598133e-05,0.0006262213530096641
PAIP2,0.7197592,1.4434028802693191e-05,0.0006278574863102096
ODC1,3.1712031,1.4518883759441405e-05,0.0006305539784533466
REXO2,0.91571236,1.4813441097375975e-05,0.0006418633232138942
RASSF2,1.4861358,1.4825837148714578e-05,0.0006418633232138942
PHPT1,0.82721096,1.485065893111986e-05,0.0006419302069003503
ABLIM1,1.9080843,1.495034288790841e-05,0.0006447584785330028
VPS51,1.1925476,1.4962848149290078e-05,0.0006447584785330028
APEX1,1.1977844,1.552306077685388e-05,0.0006678548675570613
PPP3CA,1.1977687,1.613009109898171e-05,0.000692890424186476
FSCN1,0.8633855,1.6496860031202524e-05,0.0007075433995964279
CWC15,0.8727416,1.6704041061978858e-05,0.0007153168391416971
SRSF9,0.80800474,1.704069717513559e-05,0.0007286020879006035
ZC3H15,0.7484161,1.7311792051423127e-05,0.0007379051023093462
FAM96B,0.775749,1.8074909082946e-05,0.0007692435843973531
MYO1B,3.913247,1.8240393954413394e-05,0.000775090268836383
PLEKHA1,0.80580044,1.827063677080011e-05,0.0007751809551771161
PTPN14,1.3079076,1.859108382179374e-05,0.0007875651453723929
RANBP1,0.7923039,1.879213117596226e-05,0.000794861033083876
METAP2,0.85282385,2.0075676221688556e-05,0.0008478514530501179
C14orf2,0.7666475,2.0663100436756824e-05,0.0008701009130560185
SORBS2,1.2199197,2.0697157116714345e-05,0.0008701009130560185
DNMT1,1.5813601,2.0697157116714345e-05,0.0008701009130560185
RALY,0.78244334,2.0782532785828156e-05,0.0008723602574848842
NASP,0.78686017,2.107532505690679e-05,0.0008833059489656162
MED28,1.1192824,2.1231918367896697e-05,0.0008879023676899369
QARS,1.2012225,2.1249385839268924e-05,0.0008879023676899369
RALBP1,0.92475104,2.1672732503176728e-05,0.0009042218108511464
UBXN6,1.3797028,2.176193456900585e-05,0.0009065719509728751
TMEM245,0.9809219,2.2377841454470432e-05,0.0009308236977848953
TTC3,0.6979403,2.280385352991796e-05,0.0009456912370647782
PPP1CC,1.0012867,2.2841260595641092e-05,0.0009458202473071923
CTSZ,1.0122089,2.323757666312748e-05,0.0009607884396037927
RCN2,0.82019556,2.3505413369240536e-05,0.0009704076196061609
HIGD2A,0.7614013,2.367914250773206e-05,0.0009754594206098834
SLCO2B1,1.0060083,2.369852098805649e-05,0.0009754594206098834
PSMC1,0.7769261,2.3893137525801744e-05,0.000982004391485187
GNG11,0.5224098,2.54019939648508e-05,0.0010409155862743764
RTFDC1,0.81537235,2.548496032875025e-05,0.0010427659287036712
ZC3H13,0.6758374,2.556818439823689e-05,0.0010446213175327066
MAP1LC3A,0.9355006,2.6094220695035975e-05,0.0010645361217865416
DCTN3,0.80514723,2.626471499005701e-05,0.00106990887739408
ABCF1,1.1166426,2.630750380376036e-05,0.001070071297787763
FAAP20,1.0095705,2.7023162363788232e-05,0.0010975622557710632
TMEM14C,0.75174594,2.7089132300726538e-05,0.0010986236626315243
UBE2A,1.015367,2.7243658199966376e-05,0.001103268143669123
PRKCH,0.84380525,2.766732178664882e-05,0.0011187821117774211
RBFOX2,1.552286,2.7802406598001608e-05,0.0011225984907169669
TALDO1,0.76397794,2.800621015358952e-05,0.001128441131945249
LDHA,0.7917932,2.8028942467999693e-05,0.001128441131945249
LSM5,0.88517755,2.834904256647138e-05,0.0011396645712800986
TIMP2,2.1581857,2.8626177262703593e-05,0.0011491305917770592
NDUFV2,0.690508,2.9188191831622814e-05,0.0011692365630220495
SMTN,1.1686018,2.9211835228159843e-05,0.0011692365630220495
TEX264,0.92069346,2.988128957278961e-05,0.0011935353820424043
BSG,0.7547561,2.990546627715213e-05,0.0011935353820424043
FSTL1,1.1567955,3.007522450063613e-05,0.001198575926703097
PLXND1,0.7222005,3.034383904591193e-05,0.0012075359209352946
TMEM147,0.672258,3.073862431941245e-05,0.0012197263042888584
NRBP1,1.2472087,3.073862431941245e-05,0.0012197263042888584
IMP3,0.7741304,3.0937842615914704e-05,0.0012258675627323215
APLP2,0.7267859,3.106297644664883e-05,0.0012290599202950956
SLIRP,0.69330186,3.159380969586445e-05,0.0012477210269640348
PTRHD1,1.2826161,3.167034298625079e-05,0.0012477210269640348
DGCR6L,1.0084423,3.167034298625079e-05,0.0012477210269640348
CMIP,1.2717468,3.1721463007483004e-05,0.0012479522208564426
TSNAX,1.4294491,3.2262977988301824e-05,0.00126744787316437
MRPL17,1.0540811,3.260259055063917e-05,0.001278967627603879
ERG,0.70264,3.345308766690949e-05,0.0013104676870426561
EVA1B,1.7256395,3.4077354802990955e-05,0.001331140638465842
CISD1,1.1054143,3.4077354802990955e-05,0.001331140638465842
YBX3,0.6960007,3.493628243376556e-05,0.0013627620890500518
C7orf73,0.95615953,3.502048689508928e-05,0.0013641172141140852
ARPC3,0.8084335,3.5415995864566544e-05,0.001377577339849106
SLC25A39,1.3011155,3.5558274226248453e-05,0.0013778373407391325
TMED2,0.742936,3.564390159508415e-05,0.0013778373407391325
VGLL4,0.99564,3.564390159508415e-05,0.0013778373407391325
NDRG1,1.1716218,3.567248753672277e-05,0.0013778373407391325
CSDE1,0.78226054,3.567248753672277e-05,0.0013778373407391325
RPL26L1,1.3067929,3.6046091417673114e-05,0.0013883786440175825
TINAGL1,0.7976545,3.6046091417673114e-05,0.0013883786440175825
SNRPN,0.82443655,3.6481789254160405e-05,0.0014032005356363118
KIAA1462,0.76689595,3.67456031755156e-05,0.00141137917043784
GNB1,0.7352336,3.781908218485096e-05,0.0014505906098662303
PRKD2,0.93501776,3.7940178593217234e-05,0.001453214229505201
PDLIM5,1.1247027,3.803124235550196e-05,0.0014546818331207115
SCAND1,0.7615951,3.818347652405989e-05,0.0014584818775353514
MRPL52,0.7619441,3.8551202032691836e-05,0.001470491078364558
SDF4,0.7100074,3.901558702915393e-05,0.0014861489766436562
TGFB1I1,0.82974625,3.948527818664335e-05,0.001501965519767242
BCL7C,1.6380963,3.999219489550242e-05,0.0015191525493500905
CITED4,2.731449,4.0376428948187375e-05,0.001531638456029039
UBE2D2,0.73874635,4.082912961070746e-05,0.0015466837038517725
ZFAND5,0.8051999,4.1286643871798113e-05,0.0015618697732461568
SNRPD2,0.75542957,4.151722111888451e-05,0.0015684409918035576
RPL22L1,1.1529399,4.228346494346803e-05,0.00159520300439256
ACTR3,0.82680506,4.26885515845048e-05,0.0016060912354672215
RAD23A,0.72052217,4.35443375792622e-05,0.0016360568688840503
SEPT9,1.0616062,4.392601668039974e-05,0.0016481519564789987
GTF2A2,0.8469968,4.39957529437759e-05,0.001648525644950342
FIBP,0.89628243,4.413554063519626e-05,0.0016515195924524321
TUBB6,1.0856825,4.448685527379518e-05,0.001662409884472525
ARL15,3.3063846,4.494753073814628e-05,0.0016764127342228754
POLR2H,1.5660096,4.498315408386858e-05,0.0016764127342228754
FIS1,0.77173924,4.526910637552183e-05,0.001684792733635818
TCEAL3,1.7886667,4.5955167963556546e-05,0.0017080210540417284
HERC2,1.1228633,4.617385959007861e-05,0.001713839434421518
MRPL43,0.746398,4.6577359794813454e-05,0.0017241750717065308
TP53I11,3.1267173,4.6577359794813454e-05,0.0017241750717065308
UBE2F,1.5072327,4.672491438619515e-05,0.001727318617885375
EIF3A,0.6702915,4.679885779234285e-05,0.0017277361448423442
MIF,0.81266314,4.6984202049676147e-05,0.0017322597916122576
NDUFS7,0.65338033,4.728220130237258e-05,0.0017409192890745406
NDUFB4,0.8201209,4.788358444121968e-05,0.001760711322293275
SRI,0.6793543,4.7959265230104975e-05,0.0017611459607401263
COX6C,0.80853444,4.822504203287226e-05,0.0017685508100831798
RAB10,0.98304534,4.845396152909515e-05,0.0017745861235715617
C14orf166,0.7441861,4.965321630368102e-05,0.0018160960201895429
CDC26,1.0900313,4.980999272408357e-05,0.0018194171911851348
MPC2,0.870004,4.996723828340614e-05,0.0018227466896557866
C1orf115,1.0481018,5.008548111821685e-05,0.0018241444170927154
SUMO1,0.7371693,5.016445696781894e-05,0.0018241444170927154
NDUFB1,0.72661644,5.020398914255461e-05,0.0018241444170927154
UACA,0.7660502,5.0481542297948965e-05,0.0018318157545958375
TCEB2,0.8202348,5.0880570770813785e-05,0.0018438690942411335
SNRPC,0.6836742,5.116166741047534e-05,0.001851622655965996
ADAM10,1.2204742,5.19320818697209e-05,0.001877041879165351
COPRS,1.999419,5.2837874668893306e-05,0.0019072812926946851
UQCR10,0.6783494,5.388535278720854e-05,0.0019425493583864538
YPEL3,1.0916197,5.426723840533493e-05,0.0019537622725095648
LXN,0.8131825,5.499558444268101e-05,0.0019774031652676103
BRD7,1.4298656,5.5125073641390564e-05,0.0019794782303154544
HIF1A,1.1125736,5.52548516417965e-05,0.0019815582556273912
ADI1,1.0122006,5.547179173286337e-05,0.001986754639492086
ARPC5,0.73749626,5.568953853579733e-05,0.0019919663991442528
CNPY3,1.0713457,5.582057500973154e-05,0.001994067121267327
ABCD4,1.2108697,5.956390671050591e-05,0.0021222912393570183
CTDNEP1,1.5531082,6.083201363672e-05,0.002164677770417373
CAST,0.698617,6.173966290692156e-05,0.0021902102815684484
NDUFB5,0.73211676,6.178778733266564e-05,0.0021902102815684484
NDUFB3,0.7234431,6.222250818098926e-05,0.0022027886143970755
H1FX,0.81094325,6.359356485840938e-05,0.002248440168801556
HIST1H4C,1.14843,6.46405719961789e-05,0.0022802439052333674
FNDC3B,1.0730387,6.469083421953718e-05,0.0022802439052333674
MAP1LC3B,0.7223632,6.474113343236372e-05,0.0022802439052333674
PRDX5,0.76230085,6.616463315266806e-05,0.0023274084860768875
PSMB4,0.690356,6.63703921193756e-05,0.0023316721960103697
CD200,0.94104373,6.751293356501619e-05,0.002368793488366433
CLPP,0.9666846,6.846155791558772e-05,0.0023990252149886635
LBH,1.3379443,7.012492961034504e-05,0.002451084041564126
FKBP9,0.98515743,7.061495993452483e-05,0.0024650878038915513
TMEM233,4.234738,7.149413335745274e-05,0.0024926235268417593
NOL7,0.7279729,7.160475524865063e-05,0.0024933282073829385
SHC1,1.3821493,7.243959520477024e-05,0.0025192170952801434
C17orf89,1.1586632,7.255160030039353e-05,0.0025199345504839455
CSRP1,0.71996486,7.39085014608516e-05,0.0025638347840092647
DCTN2,0.768756,7.40797918924853e-05,0.002566548367852964
SSR3,0.82929736,7.476871528327308e-05,0.0025871664116463053
CNOT7,0.9313742,7.49418904089908e-05,0.002589909089848557
ARHGEF12,0.73091424,7.58134705266266e-05,0.002616750801230674
NINJ1,1.5502448,7.59304028275398e-05,0.002617510811472366
GRB2,1.0307838,7.734695835401984e-05,0.0026630142540413973
CDIPT,0.8757541,7.854647171832127e-05,0.0027009408940746435
TMEM181,2.0981896,8.12475933396225e-05,0.0027903438718805845
PAPOLA,0.68614364,8.263085304306038e-05,0.002834320479131243
RNPS1,0.709208,8.282119487656642e-05,0.0028373203879577
RPAIN,0.8389156,8.461781216205723e-05,0.002895272982388603
MORF4L2,0.7320666,8.598937726153831e-05,0.0029385564388088024
HIP1,1.1569673,8.638509482814522e-05,0.0029484259222408277
A4GALT,1.6783199,8.651738260921032e-05,0.002949290948821758
MMP2,27.880756,8.771661648271283e-05,0.0029864800609385855
ACE,0.68492824,8.852481212232544e-05,0.0030102802326874116
SIGIRR,0.7309201,8.96133536554838e-05,0.003043543186097207
DPY30,0.7146824,8.981885778682826e-05,0.00304677055356107
TCEAL4,0.7299206,9.161863588211553e-05,0.00310255998163078
FAM204A,0.8869376,9.16885337961087e-05,0.00310255998163078
ZYX,1.4037138,9.182848075446747e-05,0.0031034875517729214
PPM1G,0.85865325,9.231988554339998e-05,0.0031162763812923925
CYSTM1,0.7097818,9.323909062629245e-05,0.003142965074140124
TIMM9,1.4501926,9.338127165449646e-05,0.003142965074140124
FMNL2,2.448308,9.345243892939668e-05,0.003142965074140124
STRA13,1.0093433,9.452611375290486e-05,0.0031752023935171865
NFIA,0.6864285,9.474224191788267e-05,0.0031785906905247787
LSM14A,0.70550597,9.568420107578612e-05,0.0032062927062795014
HDLBP,1.2551111,9.619506578455198e-05,0.0032194994225805515
C1orf43,0.7112681,9.670850514449878e-05,0.0032327601877272572
PRPF38B,0.7226902,9.804068509920433e-05,0.003273324471750432
TGFB1,0.8579568,9.856341893429353e-05,0.003286798025840323
CHMP4A,0.6310784,9.871325406822184e-05,0.0032878189863447126
SH3GLB1,0.7149348,9.908878324797667e-05,0.0032963455541769613
THOC2,0.8353313,9.969243645808322e-05,0.0033124313405313486
AK2,0.85591656,9.991970012773539e-05,0.0033159873527348815
OSTC,0.6918777,0.0001005281299445764,0.0033321691918407788
PDAP1,0.6879551,0.00010075719144393758,0.003335752491765799
NDUFA12,0.72129655,0.00010237447074847672,0.0033852315998818836
PICALM,0.8425054,0.00010299699761820834,0.0033976688998982652
ZFYVE21,0.87281287,0.00010299699761820834,0.0033976688998982652
TMEM14A,1.5107504,0.00010441077091285413,0.0034360862055306577
SSU72,0.6182074,0.00010456898244065883,0.0034371911772925973
STRN4,2.0146234,0.00010472742019280316,0.003438300945329911
IGBP1,0.724783,0.00010512450628713702,0.003447233810210065
PGM2L1,1.428809,0.00010584284415018158,0.003466667406144546
YIPF5,1.4746835,0.00010616359000219859,0.003473048025006682
ATP6V1E1,0.6574103,0.00010656581219518201,0.0034820757923207696
BRK1,0.79137224,0.00010778112393125525,0.0035176187405635
DST,0.895635,0.00010810740886323372,0.0035240970704849403
DAB2,0.86141616,0.00010868065116586129,0.003538600941974171
CD81,0.6889513,0.00010909186448334497,0.0035478012249076504
LSM3,0.67486817,0.00010950454542899612,0.003557027507468616
CNRIP1,1.0103143,0.00011025108516267994,0.0035770640313133968
ERH,0.7307978,0.00011362750966668555,0.0036822790382936006
UFM1,1.3210281,0.0001148321276132097,0.0037169488442688934
PLAT,2.2521026,0.00011561287436017253,0.003737833351822788
XRCC5,0.686463,0.00011657391947907637,0.003764491277978885
PDGFB,1.1767708,0.00011754249494006866,0.003791329737376858
THY1,4.8556824,0.00011834060527031227,0.003811028564713662
STAU1,0.7463066,0.00011842959895422468,0.003811028564713662
FEZ2,0.655937,0.00011923338681872483,0.0038308382587795165
PSMD4,0.7393256,0.00011932301342706521,0.0038308382587795165
RPL36AL,0.7865505,0.00012022278019731554,0.003855237014280893
NGFRAP1,0.67483103,0.00012058447496894175,0.003862344542036557
COPE,0.7113433,0.00012112894135794678,0.003875282998572455
DDX21,0.7002852,0.00012149320572897086,0.00388243294043286
FLNB,0.8151127,0.00012342259826291248,0.0039395236283502316
SOCS2,0.6894705,0.00012425829160496834,0.003961612908533892
KDELR2,0.7118637,0.00012509931689417026,0.003979226022269236
C16orf13,0.66973823,0.00012538084900748302,0.0039835864676594085
PIK3C2B,1.4702779,0.00012566297825768573,0.00398795582783712
HMG20B,0.9635209,0.0001265129606429175,0.004010315435184343
SRM,1.8489549,0.00012698751163879783,0.004020736619948067
C4orf27,1.7654796,0.00012775028446167762,0.00404024924872035
CCT7,0.7260745,0.0001310405031539146,0.004139558987375323
COA3,0.68748146,0.00013241837284751765,0.004178299641177164
SHFM1,0.73081565,0.00013380988576371835,0.004217381748104942
LAMTOR5,0.6980838,0.0001384796265591468,0.004359578928365468
UBTD1,2.8756814,0.00014066212048048217,0.004418200408440475
TAX1BP3,0.7660478,0.00014501687540136705,0.00454980135360512
RHOJ,0.8056333,0.00014631525996226246,0.004583518422186609
ITPA,1.2968196,0.00014642395133607957,0.004583518422186609
SPG21,0.8988114,0.00014664156220616607,0.004585125853199147
POLR2E,0.6873447,0.000147077697822743,0.004588358315108152
ABI3,1.1679814,0.000147077697822743,0.004588358315108152
FMNL3,1.6569401,0.00014949835719559824,0.004658605304791196
CCNG1,1.6257116,0.0001503878594387237,0.004681034297518197
DCTPP1,1.0205774,0.0001531997751664248,0.00476318308854528
CCL18,1.5561028,0.0001551400672177587,0.004816220658274208
SYPL1,0.6156463,0.00015525491932720905,0.004816220658274208
NHP2,0.708104,0.00015606112771570575,0.004835790764206442
MAF1,0.67620486,0.00015721969151206438,0.004866222954567578
TPM3,0.761918,0.00015791871019342244,0.004876911746600453
HADHB,0.62641644,0.00015791871019342244,0.004876911746600453
SNHG7,0.6245788,0.00015873792857962714,0.004896727734193465
ARF5,0.7883187,0.0001590902450413575,0.004902112600838612
LAMTOR4,0.71518433,0.00015991518061895144,0.004922032199898931
PHB2,0.7232329,0.00016074414028159197,0.004942031104443415
USP22,0.9011782,0.00016494994111691252,0.005058161099525632
SMIM10L1,1.2981787,0.00016507161467739026,0.005058161099525632
SWAP70,0.8138501,0.00016507161467739026,0.005058161099525632
FAM118A,0.96427876,0.00016727623020005992,0.005120026499952555
SCARB1,1.4381833,0.00016950852245115427,0.00518260092256977
MAGOH,0.6042997,0.0001721482743201389,0.005257480741086147
SREK1IP1,0.73772734,0.00017265544789566489,0.005267137104056024
PEBP1,0.6865163,0.0001752124644055783,0.00533923684351054
FAM127B,0.9573192,0.000177023519734754,0.005388470890998946
LRRC59,1.6691307,0.00017741388641011349,0.005394399293735512
ITSN2,0.631525,0.00017885216722058955,0.005432142144944293
ASNA1,0.9069242,0.00017924632423562415,0.005438124455192567
